taxa	gBLUP	cBLUP	rrBLUP	Bayeslasso	BayesA	BayesB	BayesCpi
Start.Weight	0.410665817	0.504122575	0.410646687	0.414944888	0.296794643	0.240230826	0.407275435
FN.Age	0.575328947	0.736949343	0.573081624	0.57232676	0.232339457	0.258450876	0.560954509
FN.PctWtLoss	0.246197939	0.278472943	0.246570389	0.242490722	0.205041849	0.183361315	0.227748985
FN.postWeight	0.402241677	0.48803789	0.396730264	0.399879625	0.287654892	0.27303761	0.3886834
FN.preWeight	0.390915049	0.485642903	0.394749383	0.387346604	0.271981452	0.25375687	0.36266025
Weight.GrowthIntercept	0.36797122	0.480818485	0.370753797	0.363072467	0.285376793	0.26569792	0.329933579
Weight.GrowthSlope	0.31749982	0.339362137	0.310247971	0.31118679	0.275692325	0.296123874	0.255179151
HTLC 	0.428895259	0.390312626	0.431806514	0.429356199	0.350509947	0.36942621	0.376784574
BA	0.486198218	0.474398398	0.490855969	0.492868064	0.447925092	0.421005409	0.455239809
BD	0.252445638	0.237725497	0.249699494	0.255497976	0.173563926	0.192339946	0.215048742
BLC 	0.469399652	0.444567343	0.470492377	0.462719833	0.410270828	0.442345627	0.379073406
CWAC	0.443988989	0.428631054	0.446044644	0.441731622	0.303749052	0.213567498	0.285509815
CWAL	0.345748043	0.336796439	0.356780486	0.357284846	0.303749052	0.240873625	0.145010427
DBH	0.415606773	0.393012355	0.426485227	0.422276997	0.382888915	0.418794346	0.080529435
HT	0.348545864	0.341644772	0.357008075	0.354148226	0.317196988	0.334521909	0.310394471
rootnum	0.233355172	0.213026241	0.232060662	0.230316767	0.25068513	0.253750441	0.234724408
rootnumbin	0.259407968	0.263519501	0.258033544	0.247142324	0.2344563	0.268766501	0.235043301
gall 	0.21917155	0.219499646	0.232456708	0.227507045	0.2745234	0.2466781	0.253001157
rustbin	0.268495062	0.276765053	0.273387646	0.264530938	0.304366005	0.292713715	0.311534072
c5c6	0.254937999	0.233554594	0.257943453	0.262031271	0.254040459	0.2288345	0.17103002
density	0.206336192	0.182552528	0.201728061	0.21456242	0.248369069	0.258742382	0.110341503
lateWood.4	0.243715039	0.236548143	0.231644922	0.247076722	0.261317188	0.20454623	0.237491844
lignin	0.166670562	0.156748641	0.16287153	0.163489159	0.1944523	0.264901674	0.137457021
stiffnessTree	0.380492014	0.372406595	0.370014494	0.364652577	0.321333586	0.352133359	0.347866641
FLL 	0.585881332	0.561130139	0.577318528	0.581344881	0.517935014	0.522951971	0.528852142
FLW	0.594472191	0.526335327	0.586151657	0.590736992	0.588380748	0.456174225	0.619794836
FLDW	0.534686033	0.519672348	0.52668787	0.528381967	0.112451009	0.084900232	0.423234437
FLA 	0.617455157	0.598353996	0.610391746	0.613717661	0.544368497	0.523879793	0.549602353
FSLW	0.254290847	0.184151474	0.223677499	0.21391292	0.027775451	0.172300072	0.130579437
DTS 	0.872984056	0.870638776	0.872988791	0.867521101	0.660666736	0.726659401	0.703868959
DTA 	0.884319536	0.879741648	0.883821417	0.878841473	0.71809726	0.734308055	0.747570322
ASI	0.31901984	0.312878008	0.323948671	0.342809683	0.271194553	0.285737111	0.268501114
PH	0.500303914	0.474816139	0.498629076	0.48937638	0.218655727	0.357722626	0.348444234
EarHT	0.52645042	0.535694692	0.5077022	0.528227157	0.38026218	0.346893393	0.353730501
dpoll	0.725376321	0.701058606	0.724465947	0.733705858	0.601631948	0.630252884	0.605709798
EarDia	0.529015271	0.519921855	0.502886491	0.504856735	0.405546529	0.385479707	0.3790427
Plantheight	0.556554228	0.537103014	0.559127192	0.279046936	0.324864457	0.283081028	0.289916231
Earheight	0.563281508	0.544966061	0.549260343	0.140898158	0.351984187	0.351605589	0.294407881
Earleafwidth	0.445552466	0.447029039	0.448701565	0.319519446	0.395480701	0.413372743	0.440674025
Earleaflength	0.621050973	0.618209276	0.626437815	0.232729403	0.47148023	0.410967375	0.487541301
Tasselmainaxislength	0.517351468	0.513161614	0.501518197	0.341440185	0.376203636	0.373961069	0.403297428
Tasselbranchnumber	0.594898254	0.598272038	0.599573398	0.237869569	0.508903676	0.50464223	0.512262103
Leafnumberaboveear	0.519906194	0.512472321	0.51275397	0.268240154	0.489760249	0.477805028	0.477393621
Earlength	0.510554387	0.509264495	0.502475671	0.327585917	0.351675003	0.381552818	0.33395952
Eardiameter	0.478591246	0.474932015	0.480811915	0.267317234	0.427227386	0.526970626	0.466309022
Cobdiameter	0.432090223	0.424947207	0.43876613	0.178412962	0.316262285	0.386358638	0.336255763
Kernernumberperrow	0.3792202	0.357170967	0.382722546	0.378104544	0.335950983	0.319176356	0.331857152
X100grainweight	0.227457159	0.170656457	0.269592034	0.566430325	0.01050279	0.028114762	0.069356627
cobweight	0.05613635	0.121772287	0.030343996	0.174261912	0.010559074	0.074341595	0.002692187
Kernelwidth	0.094735811	0.077045944	0.081990309	0.087977194	0.046609652	0.047542402	0.000314162
Silkingtime	0.577812436	0.547831	0.582516591	0.266183416	0.479192482	0.465862623	0.478690521
Pollenshed	0.626890449	0.604196088	0.62729736	0.345234048	0.536857452	0.53880449	0.544486223
Headingdate	0.599723709	0.569674707	0.599041239	0.21656168	0.505257353	0.497510678	0.503627148
55Kmaize1_0.25_2	0.124437707	0.129968889	0.315890902	0.146437134	0.134306803	0.101946776	0.150352221
55Kmaize1_0.5_2	0.244237051	0.257306027	0.504184167	0.260276709	0.306197867	0.365771861	0.217695318
55Kmaize1_0.75_2	0.389811437	0.371731038	0.548684212	0.393466414	0.621962078	0.705692406	0.399251723
55Kmaize1_0.8_2	0.420147822	0.39570204	0.552828992	0.423148241	0.670021314	0.754001621	0.415672821
55Kmaize1_0.9_2	0.482831366	0.452984962	0.558963641	0.485623972	0.720699942	0.765659099	0.494190406
55Kmaize1_0.99_2	0.549436466	0.523758703	0.563985687	0.554077524	0.732066921	0.807064655	0.544521391
55Kmaize1_0.25_5	0.182389514	0.149147272	0.049208211	0.207852228	0.112067179	0.135924615	0.129691454
55Kmaize1_0.5_5	0.326176058	0.304873613	0.243615572	0.43864368	0.239670578	0.253720516	0.267996313
55Kmaize1_0.75_5	0.436597746	0.427053858	0.46985428	0.449619414	0.339776787	0.377501116	0.327607969
55Kmaize1_0.8_5	0.456382147	0.45347199	0.497420147	0.469858927	0.357609395	0.393915869	0.38068091
55Kmaize1_0.9_5	0.496113431	0.500050863	0.537619898	0.51021925	0.392825816	0.429392191	0.400757002
55Kmaize1_0.99_5	0.542229814	0.542411599	0.556237993	0.550369344	0.428066536	0.451965142	0.466766481
55Kmaize1_0.25_10	0.296305192	0.305211498	0.130336185	0.280123182	0.218435244	0.243765421	0.185362911
55Kmaize1_0.5_10	0.390373887	0.41137662	0.227959609	0.398954178	0.301916541	0.290396728	0.307048415
55Kmaize1_0.75_10	0.459737825	0.477033847	0.404714616	0.442067363	0.351823368	0.366750349	0.349705599
55Kmaize1_0.8_10	0.471437526	0.507591304	0.44278543	0.45811801	0.359419382	0.376518062	0.369757937
55Kmaize1_0.9_10	0.49258593	0.502976221	0.496553553	0.497398974	0.371252112	0.381931703	0.371360375
55Kmaize1_0.99_10	0.504838275	0.507591304	0.503869165	0.489640085	0.37382315	0.391968628	0.384146485
55Kmaize1_0.25_20	0.24250958	0.242950142	0.107396508	0.258156177	0.093081409	0.082138055	0.116936465
55Kmaize1_0.5_20	0.349333024	0.348031768	0.147500392	0.348475625	0.1573034	0.151616683	0.160685819
55Kmaize1_0.75_20	0.432054155	0.424684337	0.304382637	0.447019626	0.200085583	0.177391118	0.180596502
55Kmaize1_0.8_20	0.445802127	0.436933462	0.360684975	0.463250292	0.20612626	0.184402877	0.195983281
55Kmaize1_0.9_20	0.46915367	0.458149546	0.462018043	0.487573433	0.207864272	0.214739716	0.234776924
55Kmaize1_0.99_20	0.476890205	0.465919514	0.47098317	0.505418689	0.21417661	0.216844966	0.286683782
