1    Taxa	EarHT	dpoll	EarDia
2    811	59.5	NaN	NaN
3    4226	65.5	59.5	32.21933
4    4722	81.13	71.5	32.421
5    33-16	64.75	64.5	NaN
6    38-11	92.25	68.5	37.897
7    A188	27.5	62	31.419
8    A214N	65	69	32.006
9    A239	47.88	61	36.064
10   A272	35.63	70	NaN
11   A441-5	53.5	67.5	35.008
12   A554	38.5	66	33.41775
13   A556	28	65	31.929
14   A6	109.5	80.5	31.5175
15   A619	36	61	40.63
16   A632	60	61	35.953
17   A634	54	59	35.601
18   A635	37	64	35.3005
19   A641	54.5	66	33.727
20   A654	39	64	NaN
21   A659	46.5	58.5	38.84617
22   A661	51.5	59	39.323
23   A679	65	66	42.471
24   A680	68	65.5	41.152
25   A682	47	57.5	35.928
26   AB28A	73.5	78	32.504
27   B10	74	69	36.561
28   B103	37	57.5	NaN
29   B104	56.25	64.5	44.773
30   B105	67.5	68	39.857
31   B109	67	64	38.951
32   B115	68	65.5	37.05975
33   B14A	57	63.5	38.067
34   B164	66	58	35.562
35   B2	39.5	70	NaN
36   B37	72.5	65.5	36.4475
37   B46	42	69	40.699
38   B52	72.5	70	NaN
39   B57	41	65	37.87475
40   B64	74.5	68.5	37.221
41   B68	65	71.5	38.889
42   B73	83.25	70	41.633
43   B73HTRHM	73	67	42.956
44   B75	56	62	38.2075
45   B76	53	61.5	35.33575
46   B77	50	65	39.028
47   B79	66.5	66.5	41.61
48   B84	72	67.5	37.622
49   B97	53	60.5	37.665
50   C103	52.5	66.5	34.91575
51   C123	32	62.5	NaN
52   C49	22	55.5	32.93267
53   C49A	22.5	57	28.544
54   CH701-30	61	60	33.5835
55   CH9	41.5	67.5	38.90333
56   CI187-2	62.63	70.5	34.085
57   CI21E	64	68	40.991
58   CI28A	72.5	66.5	37.328
59   CI31A	74	73	NaN
60   CI3A	66.5	70	44.051
61   CI44	57	73	40.172
62   CI64	64.5	70.5	41.403
63   CI66	47	75	32.5045
64   CI7	84.67	68.5	37.889
65   CI90C	63.5	67.5	33.92475
66   CI91B	49	66.5	35.53867
67   CM105	31.5	65.5	36.218
68   CM174	34.5	64	32.9705
69   CM37	24	57.5	25.74375
70   CM7	28	61.5	31.667
71   CML10	110	77	33.33867
72   CML103	88.5	69	42.029
73   CML108	55.5	71.5	40.739
74   CML11	97.25	80.5	33.48683
75   CML14	80	82	30.863
76   CML154Q	61	72.5	42.933
77   CML157Q	111.5	71.5	40.303
78   CML158Q	74	74.5	41.6995
79   CML218	62	69	35.57
80   CML220	44	63.5	40.216
81   CML228	74	72.5	31.339
82   CML238	57.5	74	42.477
83   CML247	68.5	78	37.79683
84   CML254	70	NaN	NaN
85   CML258	133	81	37.02083
86   CML261	104.17	77	37.46267
87   CML264	60.5	82	NaN
88   CML277	82.5	75	39.036
89   CML281	73.5	81	NaN
90   CML287	95	75	37.24
91   CML311	89.25	NaN	NaN
92   CML314	81.5	69	38.929
93   CML321	82	79.5	39.339
94   CML322	66.75	68	40.0235
95   CML323	63	70.5	39.081
96   CML328	74.5	65	34.876
97   CML331	59	77	NaN
98   CML332	66.5	70.5	37.182
99   CML333	97.5	69	36.581
100  CML341	94.63	73	42.116
101  CML349	55.25	68.5	NaN
102  CML38	82.5	75.5	32.36083
103  CML45	45	82.5	NaN
104  CML5	94.25	78	NaN
105  CML52	104.33	81	32.69017
106  CML69	76	73.5	37.723
107  CML77	63	68.5	43.716
108  CML91	64.5	69.5	39.435
109  CML92	68	71.5	40.503
110  CMV3	32.5	59.5	NaN
111  CO106	34.5	55	NaN
112  CO109	26.5	61.5	NaN
113  CO125	32.13	60	31.788
114  CO255	38	61.5	32.06183
115  D940Y	74	71.5	34.624
116  DE1	64.5	69	44.774
